Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	198
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	198
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	69
Limite threshold :;	199
Nb d'erosions    :;	1
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	15
Limite threshold :;	199
Nb d'erosions    :;	2
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	0
Limite threshold :;	199
Nb d'erosions    :;	3
Size d'erosions  :;	3
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	2

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	1
Nb dilatations   :;	3
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	2

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	1
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	2

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	2
Size dilatations :;	3

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	1

Nb comp trouves  :;	68
Limite threshold :;	200
Nb d'erosions    :;	1
Size d'erosions  :;	2
Nb dilatations   :;	3
Size dilatations :;	2
